Username,sentiment
11-Sep-93,0
1204edijs,0.300000012
160790uriel,0.100000001
19990114tennis,-0.100000001
1KAKKAROT1,-0.300000012
1MoreFloridaMan,-0.100000001
1determinedblue,0.300000012
1sportsfan19,0.400000006
206dseattleorca,0.300000012
22_carcamo,0.300000012
22mei99,0
233Nkay,0
23Zoltan,
23rohitsingh,0.100000001
2catz1,-0.400000006
33Kr9,0
3marWzi,0.899999976
415Hurricane,-0.800000012
42418w,0.100000001
5557cdb728b849a,-0.5
5nboy,0.200000003
69Ennabong,0.300000012
6B32PHdoQJiyBoQ,0.300000012
925theblock,0.100000001
929445LUGO,0.100000001
92Husseinzd,0.300000012
97hockeymom,0.300000012
AASPTech,-0.200000003
AAZJ00,0.400000006
ABea908,
ABelujsky,0.200000003
ACP_GLM,0.200000003
AFROWorld9,-0.100000001
AM1234512345AM,-0.100000001
AMalhes,0.200000003
ANGIECA79,0.100000001
ANIRBAN51419211,-0.100000001
APlayStationGuy,0
ARETI65378738,0.600000024
ARkontratchi,0
ASMessy,0.100000001
ATCreator,0.100000001
AYMENDER5,0.200000003
A_rvi_nd,0
AaronKeffer22,0.100000001
AaronLester300,0.5
AaronSarki,-0.100000001
Aaronrp29,0
AbByBaBy0588,0.200000003
AbdAlla97174631,0.100000001
AbdalrhmainMah1,0.300000012
Abdelwahab_7719,0
AbdoAdelHelmy1,0
AbdulAhadLodhi1,
AbdulAlim105,0.300000012
AbdulAziz522031,0.300000012
AbdulMa94857665,0.300000012
AbdulRo33885361,0.400000006
AbdulSomanda,0.699999988
Abdulrhman5tur1,-0.300000012
AbedalkadrA,0.100000001
AbelPin76426258,-0.400000006
AbencoadoMe,0
AbhijatDixit,0
Abhijit6126,-0.300000012
Abhinand88888,-0.400000006
Abhishe23104178,-0.100000001
Abi7Idowu,-0.699999988
Abrahan980228,-0.5
Abubakarrba,0.800000012
Abuhamida94,0.300000012
Abundan29768460,-0.400000006
AbwalfdlAqazadh,0.300000012
AceAdonis3,0
AceofAnimal,0
Ade82niran,0
Adebiyi67303789,0.800000012
Adedeji55999593,0.699999988
Adeel8530,-0.100000001
Adeola91401668,0
Ades15_,0
Adeyemi25,0.200000003
AdeyojuIbukuno1,-0.600000024
Adil_sha_,-0.300000012
Adithya07269801,0.300000012
Adityakumar8979,-0.400000006
AdmireMungando,0.200000003
Admlee03,0
AdrianChirefu,0.300000012
Adriano89957663,0.400000006
AdvTarsem,0
AgoroSaheed3,0.800000012
AhlersCarissa,0.400000006
Ahmad7699200,0.300000012
AhmadFa19957871,0
AhmadHelly59,0.800000012
AhmadRaza2022,0.899999976
Ahmed50543410,-0.5
AhmedA4129,0
AhmedRocky143,0.200000003
Ahsanuz_zaman,0.100000001
AjayDhaliwal14,0.300000012
AjitReddyDharma,0.400000006
Ajoconnor64,-0.200000003
AkampaGolden3,-0.699999988
AkinladeBassey,0.300000012
Al738811608,0.300000012
AlAmin08899138,0.100000001
AladinSkrijelj,0.300000012
AlagbeSulaimon,-0.800000012
Alberto94499475,0.800000012
Alex933800144,0.400000006
AlexBund1974,0.300000012
AlexLop76123142,0.300000012
AlexMacias3,0
AlhajAsmaeeil,0.100000001
AliAbub04836745,0.400000006
AliElAtmani7,-0.800000012
Alinochkay_a,0.300000012
AlirazaKatpar2,0.200000003
Alireza1491219,0
Alison_M95,0.200000003
AlkalbIbn,0.200000003
AllamAsif,-0.100000001
AllawiBasha1,-0.800000012
AlleneErina,0.5
Allison02084834,0.899999976
AllraqiAbdullah,0.300000012
AlphaOu22419628,0
Alvin93803509,-0.600000024
Amanda32406,0.600000024
AmandaCruson26,0.5
AmandaOnyiisco,0.200000003
AmberDu43282881,0.200000003
Amburton9,0.300000012
Amicuscuriae93,-0.200000003
AmirZaf23820507,0.300000012
AmitPat69248353,-0.100000001
AmyYung13,0.5
Anas97967855,0.300000012
AndreaMalG,0.699999988
Andybabaonline,-0.200000003
AngelCo63619489,-0.100000001
AngelOr98269361,0.300000012
Angel_watterss,0.100000001
AngelaMJohnson7,0.5
AngriestHeathen,-0.100000001
Anifowosheism11,-0.400000006
AnnieKuT,0.5
AnthonyVildoso7,0
AntoYido38,0.800000012
AntoineCrazie13,0
Anu_Ayoola,-0.300000012
Anubhav62797726,-0.300000012
AnyangAaron,0.100000001
Aondosoo7,0
AppliedDe,-0.200000003
AppuApp02283959,0.699999988
AprilMorin1,0.5
ArafathAhmed16,0.800000012
Aramis23891607,0.400000006
ArbaazA88038870,0
Arcturus_666,0
AriawanSimatup2,0.300000012
ArifTopakta1,0.600000024
Arktura_,
Armanidra,0.200000003
ArmorOfFaith91,0
Arnoldzavala14,0.100000001
Arod719949,-0.300000012
ArshadA51070797,0
Artemismoongodd,0.5
ArthurZirabada,-0.400000006
ArunGur77615758,0.800000012
Arunkumar6106,0.300000012
Aryalrajesh245,0.200000003
AryanSh96807772,0.300000012
Aryanto13712309,-0.300000012
Ashamlalmamine,-0.200000003
AshbyZacharia,0.100000001
AshikStha3,-0.699999988
AshleyM6586,0.300000012
AshleyOnTheAir,0
Ashvin_Sibi_,0.300000012
AsilbekNosirov,
Assir16137731,0.300000012
AstroBadness,0.800000012
AtchoJox,-0.100000001
Audugodson1,0
Aurlie18091901,-0.100000001
Aussie27USA,0.200000003
AustinDivagirl,0.300000012
AustinS04320213,0
AvanParihar,0.200000003
Avandi56,0.400000006
Avniesh1,-0.400000006
AvuvakarAmeenu,-0.100000001
AyoGOT8,0.300000012
Ayomide23090731,-0.400000006
Ayoubkhanhosey,0
Azeez10335800,-0.200000003
BATMANSPAGE2022,0.200000003
BBunny75,-0.5
BEBE408SJ,0
BENGALBABY1984,0
BGASHEFF,0
BIG_Wojo_68,0.800000012
BILL_LEWIS2,0.400000006
BLDPskully,0.200000003
BM_GetYouRight,0.5
BMekibb,0
BRManifesting,0.5
BTSRJ771,0.699999988
BaRaa_Egy,0.400000006
Babb3Tony,0.300000012
Baby_Boy_FiLife,0
BadBennyAK,0.400000006
BahdboyTimz,-0.600000024
BaileyStar492,-0.200000003
Bamaboozed,0.400000006
Barbara67800696,0.100000001
BarrBbarr21,0.300000012
BarryH52620891,-0.200000003
BartoPaula,0.400000006
BasicNext_NL,0.300000012
BasquetteBrooke,0.200000003
Bcoop1980,0.100000001
Beakingsigns,0.400000006
BeanTwnsMavrick,0
BehdadJalali,0.300000012
Bella74746441,-0.200000003
BenHaim6297,0.300000012
BenSixTen,-0.200000003
BenTruo63592022,0.600000024
BenjaminBaca7,-0.400000006
BensWildPitch,0.200000003
Bensworld213,-0.300000012
BerkUydurucu,0
BernheimRon,0.600000024
Bernsarella,0.400000006
BetaChris,0
BgCookn,-0.300000012
BhadboyWestBs,-0.300000012
BhuvanGubbi,-0.100000001
Bibhavk49647642,0.200000003
BigAkhAbdul,0.300000012
BigFellaDan2,0.100000001
BigGame901,0
BigIrish_52,0
BigSEXYIrma,0.400000006
BigSkyWrestling,0.100000001
Big_Damilare,-0.200000003
Big_Drewski1980,0.300000012
Biglove150,0.300000012
Bilal24680Hasan,0
Billu0422,0
Biscuit4178,0.300000012
Bismarc44303256,-0.699999988
BlackAtheist22,-0.300000012
BlackCEO8,0.100000001
BlaiseMenemene,0.300000012
BlaizeEmry,-0.100000001
Blaze56603024,0.200000003
BlondeBlonde395,0.400000006
BluntzMandy,-0.400000006
Boitu_Clemy,0.699999988
BoldNBrash202,-0.200000003
Boluwat1Duntoye,-0.100000001
Bonzcustom,0.300000012
BooklovingG,0.200000003
Border_Cowboy,-0.5
BoricuaAlma729,-0.100000001
Bormelddow,-0.400000006
BoyzGuyton,0
Boz_2_Boz,-0.400000006
